company_id,year,metric_code,value,unit_code
1000,2020,72,401,2
1000,2021,72,11,2
1000,2022,72,689,2
1000,2023,72,964,2
1000,2024,72,833,2
1000,2022,112,466,2
1000,2023,112,943,2
1000,2024,112,366,2
1001,2020,214,126,2
1001,2021,214,804,2
1001,2022,214,242,2
1001,2023,214,602,2
1001,2024,214,238,2
1001,2023,216,465,2
1001,2024,216,412,2
1001,2024,349,903,2
1003,2023,2,156,2
1003,2024,2,723,2
1003,2023,546,449,2
1003,2024,546,719,2
1004,2020,4,51.61,1
1004,2021,4,24.66,1
1004,2022,4,10.89,1
1004,2023,4,14.33,1
1004,2024,4,84.22,1
1004,2024,428,717,2
1006,2021,39,434,2
1006,2022,39,894,2
1006,2023,39,628,2
1006,2024,39,182,2
1006,2024,112,581,2
1006,2024,478,937,2
1007,2023,2,980,2
1007,2024,2,11,2
1007,2020,181,305,2
1007,2021,181,219,2
1007,2022,181,177,2
1007,2023,181,626,2
1007,2024,181,458,2
1008,2024,216,720,2
1009,2024,4,27.73,1
1010,2024,175,930,2
1011,2024,374,278,2
1011,2022,478,279,2
1011,2023,478,45,2
1011,2024,478,294,2
1012,2020,39,714,2
1012,2021,39,93,2
1012,2022,39,360,2
1012,2023,39,668,2
1012,2024,39,406,2
1012,2023,57,38.92,3
1012,2024,57,41.31,3
1012,2020,175,998,2
1012,2021,175,384,2
1012,2022,175,309,2
1012,2023,175,405,2
1012,2024,175,635,2
1013,2021,57,99.96,3
1013,2022,57,95.32,3
1013,2023,57,56.69,3
1013,2024,57,29.18,3
1014,2021,57,86.85,3
1014,2022,57,50.08,3
1014,2023,57,47.96,3
1014,2024,57,91.59,3
1014,2021,59,298,2
1014,2022,59,58,2
1014,2023,59,705,2
1014,2024,59,748,2
1014,2021,72,314,2
1014,2022,72,876,2
1014,2023,72,444,2
1014,2024,72,974,2
1015,2022,349,709,2
1015,2023,349,779,2
1015,2024,349,137,2
1015,2020,386,98,2
1015,2021,386,68,2
1015,2022,386,628,2
1015,2023,386,916,2
1015,2024,386,592,2
1015,2023,456,390,2
1015,2024,456,411,2
1016,2022,172,462,2
1016,2023,172,869,2
1016,2024,172,645,2
1016,2020,175,547,2
1016,2021,175,165,2
1016,2022,175,52,2
1016,2023,175,769,2
1016,2024,175,397,2
1016,2023,344,15,2
1016,2024,344,935,2
1016,2021,420,562,2
1016,2022,420,296,2
1016,2023,420,311,2
1016,2024,420,968,2
1017,2020,374,863,2
1017,2021,374,426,2
1017,2022,374,370,2
1017,2023,374,880,2
1017,2024,374,933,2
1017,2021,428,808,2
1017,2022,428,322,2
1017,2023,428,988,2
1017,2024,428,120,2
1018,2022,420,22,2
1018,2023,420,144,2
1018,2024,420,2,2
1018,2020,428,795,2
1018,2021,428,818,2
1018,2022,428,72,2
1018,2023,428,786,2
1018,2024,428,569,2
1019,2023,3,355,2
1019,2024,3,185,2
1019,2023,112,907,2
1019,2024,112,368,2
1019,2020,115,907,2
1019,2021,115,917,2
1019,2022,115,247,2
1019,2023,115,21,2
1019,2024,115,926,2
1020,2023,3,959,2
1020,2024,3,135,2
1021,2024,130,538,2
1021,2021,358,273,2
1021,2022,358,615,2
1021,2023,358,277,2
1021,2024,358,470,2
1022,2022,420,30,2
1022,2023,420,464,2
1022,2024,420,53,2
1022,2021,422,455,2
1022,2022,422,825,2
1022,2023,422,412,2
1022,2024,422,178,2
1023,2022,39,160,2
1023,2023,39,193,2
1023,2024,39,541,2
1023,2022,428,204,2
1023,2023,428,359,2
1023,2024,428,550,2
1024,2024,172,419,2
1024,2024,351,71.15,8
1024,2023,358,629,2
1024,2024,358,993,2
1025,2022,112,366,2
1025,2023,112,554,2
1025,2024,112,217,2
1025,2023,216,661,2
1025,2024,216,125,2
1026,2022,104,665,2
1026,2023,104,369,2
1026,2024,104,855,2
1026,2023,344,391,2
1026,2024,344,938,2
1026,2023,456,856,2
1026,2024,456,523,2
1030,2023,130,562,2
1030,2024,130,669,2
1030,2024,456,887,2
1031,2023,72,399,2
1031,2024,72,659,2
1031,2023,374,8,2
1031,2024,374,708,2
1032,2020,351,36.31,8
1032,2021,351,25.43,8
1032,2022,351,31.84,8
1032,2023,351,44.37,8
1032,2024,351,54.41,8
1032,2023,478,386,2
1032,2024,478,42,2
1033,2023,344,425,2
1033,2024,344,421,2
1034,2020,59,488,2
1034,2021,59,708,2
1034,2022,59,641,2
1034,2023,59,493,2
1034,2024,59,585,2
1035,2022,115,191,2
